Test_case,Flow_rate,Inlet_temperature,Speed,Copper_loss,T_layer_a_f,T_layer_b_f,T_layer_c_f,T_layer_d_f,T_layer_e_f,T_layer_f_f,T_layer_a_r,T_layer_b_r,T_layer_c_r,T_layer_d_r,T_layer_e_r,T_layer_f_r,T_layer_a_f_motorcad,T_layer_b_f_motorcad,T_layer_c_f_motorcad,T_layer_d_f_motorcad,T_layer_e_f_motorcad,T_layer_f_f_motorcad,T_layer_a_r_motorcad,T_layer_b_r_motorcad,T_layer_c_r_motorcad,T_layer_d_r_motorcad,T_layer_e_r_motorcad,T_layer_f_r_motorcad,Correlation_Factor_layer_a_f_motorcad,Correlation_Factor_layer_b_f_motorcad,Correlation_Factor_layer_c_f_motorcad,Correlation_Factor_layer_d_f_motorcad,Correlation_Factor_layer_e_f_motorcad,Correlation_Factor_layer_f_f_motorcad,Correlation_Factor_layer_a_r_motorcad,Correlation_Factor_layer_b_r_motorcad,Correlation_Factor_layer_c_r_motorcad,Correlation_Factor_layer_d_r_motorcad,Correlation_Factor_layer_e_r_motorcad,Correlation_Factor_layer_f_r_motorcad
31,6,40,5000,5120,61.01326131167147,62.03002386040886,63.43654772438469,64.20783866644612,65.58151818841003,66.31038934678246,60.41242057902798,61.51467343708244,61.92856366131432,62.63309099412108,64.88175308504083,65.38019691962526,62.48323233326977,63.07887862311097,63.953834513924456,64.33196131980927,65.33056181153628,65.65505197724599,62.242059472627034,62.98314500370431,62.98573274002345,63.32657697362508,65.00368807554638,65.11213272601796,1.28937449213414,1.28849064518679,1.26506417952376,1.25183077404349,1.2118113293985,1.19640381007273,1.35451866254557,1.35306991812883,1.32453622238564,1.31303863691158,1.29123002194267,1.27829045961354
32,6,40,7500,6400,59.74011306279687,60.776002292967085,62.01827578601761,62.77792302316514,63.99965837649426,64.76978657,59.22962625401869,60.36539188945859,60.66037908947419,61.35464034,63.455635827004905,63.98680879311997,62.74004120744508,63.374174140834285,64.06518590151101,64.42702391832681,65.20842472325242,65.57643190609559,62.654952191972804,63.449049157152906,63.32080230950335,63.657410928755766,65.16582034939614,65.30767591116013,1.28201429275566,1.28424590358532,1.27172393946032,1.26210426612754,1.23505294151374,1.22154570604481,1.33514722104496,1.33770801157842,1.31594500293624,1.30726552047856,1.29922297635207,1.28752249400169
33,6,40,10000,7680,57.69745269019913,58.698715471036685,59.74727346544205,60.456099277890026,61.49059910705283,62.25143297304753,57.28336045636763,58.391487577231935,58.57878886716463,59.22706948454713,61.09470123878446,61.62161268634892,61.84433087796431,62.485618113457335,63.03414848704736,63.37835335183906,63.98809150515363,64.37644973260676,61.86196609391649,62.66784677752241,62.46379324253444,62.78457838700372,64.10650893828475,64.27341561526123,1.27641376877571,1.28167235677569,1.27545729720168,1.26797190339884,1.24922267554032,1.23737074832321,1.32168533480455,1.32805090941817,1.30970529964055,1.30321742531793,1.30475526520294,1.2937359951884
34,6,40,12500,7680,53.36535397,54.16766586437564,54.91429046451271,55.464863854132616,56.20275781238336,56.82314025484566,53.08238185445482,53.97788458134069,54.06708895737015,54.571272551053696,55.96626350501569,56.39677495504165,57.602454087002464,58.14277736929364,58.51798864913137,58.795057510023,59.20439600677148,59.54212254857819,57.669123540612034,58.346758792242994,58.13528407928091,58.392239578774074,59.38093692799163,59.5367273531198,1.27182048299004,1.27951645242061,1.2775147095073,1.27169289644722,1.25878800067105,1.24850470545362,1.31172302928604,1.32147868055316,1.3050844698802,1.30042872700176,1.3088802343032,1.29860706618906
35,6,40,15000,7680,50.24794518668301,50.89360998515595,51.43595291386296,51.86610965017796,52.401487836813416,52.903498520770434,50.05262384370991,50.77832489,50.81272952340241,51.20737874995916,52.26387571466111,52.612313490829926,54.343914815059634,54.80130242379851,55.06979031492004,55.294321359995884,55.5784773955244,55.86624223427929,54.431647175400684,55.00167929303784,54.805081414444544,55.01379435558861,55.769894752201566,55.90969637875812,1.26801592731234,1.2779970207742,1.27867528561314,1.27448155705298,1.26571474271127,1.25713549010648,1.30375571211815,1.31684060455386,1.3013021126051,1.29822002838806,1.31196069807897,1.30243837980603
36,6,75,0,1536,82.25989650898507,82.74725623513461,83.46846712715589,83.82127879849065,84.52639370003975,84.81462691018537,81.91986969971153,82.40242270693405,82.74082562330449,83.05222058152243,83.98758668602105,84.18279803392976,82.11291953257097,82.38815988485268,82.59855581024274,82.68241639583799,82.75610436269582,82.75664446184904,82.3769169844891,82.69172030149451,82.61993220017484,82.70254051297526,83.098485663595,83.04719825320237,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.00000001
37,6,75,2500,2304,83.67058851,84.24888347942463,85.0146695,85.43370738901633,86.17819720503657,86.52047361162535,83.30990049453362,83.89715231257159,84.21191615859134,84.58375738212185,85.65148526217195,85.88362143686544,83.68630789043117,84.11982567785735,85.1273009572664,85.45922195697489,86.15258137125325,86.15837322532025,83.24105297940591,83.66169409741387,84.06552916961087,84.32902656269437,85.68943198799512,85.81049128619216,1.09164999696242,1.07138159096136,0.982916138399794,0.948616158177052,0.892354892584315,0.892354892584315,1.20389989936897,1.19107068974446,1.11547522006053,1.08619503237756,0.990415908459109,0.959765680394162
38,6,75,5000,3072,82.91919132683236,83.48680799,84.12029697939522,84.52327596797946,85.14192116,85.48565248,82.61902142946128,83.20686990024036,83.42369881,83.78149826690304,84.73630502803886,84.96857406,82.2415336365795,82.62622575421042,83.4032619665181,83.76366427382754,84.97649468441571,85.33338529301841,81.74169040872795,82.1063892185231,82.42138606315969,82.68631058349159,83.7644414958151,83.95938479728206,1.31134159154201,1.29196693229353,1.19628300427994,1.14747888545496,1.01159074826699,0.9588121209145,1.46874213270084,1.46137191187677,1.36645894766379,1.32551719408917,1.22706922480363,1.17696507070075
39,6,75,7500,3840,81.59863401925347,82.10904124,82.59094465205004,82.94171575,83.41198718597211,83.72152544894122,81.37024893,81.90704595759658,82.03846571166932,82.35030094525976,83.12842072,83.33567463110928,81.57317514375528,81.89515742667464,82.29032226233124,82.52626584580736,83.0606488375239,83.28310776470593,81.3489038805135,81.67895817682215,81.788425081061,81.97914571421978,82.62178792410134,82.74508278568773,1.29790778194345,1.29326279540911,1.24856495584952,1.2189473722687,1.14800540519375,1.11088937378108,1.39624967140597,1.40173288000019,1.34572063323241,1.32131266968105,1.28229442551107,1.24589735529883
40,6,75,10000,4608,80.38007643178618,80.82274131828623,81.18498079675935,81.47756953,81.82823324957319,82.08886882,80.21042446683015,80.68160297765073,80.75698906,81.01785879851943,81.63634746,81.80812803510801,80.82748829198263,81.10273582787396,81.33893504342748,81.51508864605411,81.80837257954141,81.9700199554068,80.72497990176575,81.01944036584723,81.0436284379604,81.19053227561861,81.6308865693643,81.71720736647254,1.28399012870425,1.28873355109636,1.26570931178328,1.24549822268413,1.20311927334555,1.17423464226817,1.35519149528564,1.36917063534253,1.32923760614212,1.31345385791967,1.30108614220702,1.27156037915426
